"Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"Försterin",1992,"Ermingen","UWS"
"Betonstein- und Terrazzoherstellermeister",1983,"Söflingen","UWS"
"Fraktionsgeschäftsführerin",1969,"Söflingen","UWS"
"Zimmerermeister",1979,"Söflingen","UWS"
"Fotograf",1951,"Wiblingen","UWS"
"Biotechnologin",1996,"Söflingen","UWS"
"Werbegestalter",1960,"Söflingen","UWS"
"Student",1997,"Söflingen","UWS"
"Kauffrau im Einzelhandel",2000,"Söflingen","UWS"
"Architekt",1959,"Söflingen","UWS"
"Augenoptikermeister",1975,"Weststadt","UWS"
"Erzieherin",1970,"Söflingen","UWS"
"Gymnasiallehrer",1986,"Gögglingen","UWS"
"Konstruktionselektrotechniker",1991,"Söflingen","UWS"
"Dipl.-Sozialpädagogin",1971,"Söflingen","UWS"
"Schornsteinfegermeister",1978,"Söflingen","UWS"
"Braumeister",1960,"Söflingen","UWS"
"Verwaltungsangestellte",1977,"Söflingen","UWS"
"Kriminalbeamter",1976,"Söflingen","UWS"
"Floristmeister",1966,"Söflingen","UWS"
"Dipl.-Ingenieur agr.",1964,"Söflingen","UWS"
"Lehrer",1980,"Söflingen","UWS"
"Student",1998,"Söflingen","UWS"
"Industriekauffrau",1963,"Weststadt","UWS"
"Projektmanager",1966,"Söflingen","UWS"
"Schulleiter",1971,"Söflingen","UWS"
"Dipl.-Sozialpädagogin (BA)",1978,"Söflingen","UWS"
"Dipl.-Ingenieur (FH)",1954,"Söflingen","UWS"
"selbst. Immobilienberater",1958,"Söflingen","UWS"
"Bankfachwirtin",1980,"Söflingen","UWS"
"Kaufmann",1974,"Söflingen","UWS"
"Stabshauptmann",1966,"Söflingen","UWS"
"Rechtsanwaltsfach- angestellte",1973,"Söflingen","UWS"
"Schlossermeister",1954,"Söflingen","UWS"
"Kaufmann",1963,"Söflingen","UWS"
"Leitung Werkstatt für behinderte Menschen",1967,"Söflingen","UWS"
"Physiotherapeut",1985,"Söflingen","UWS"
"Friseur",1953,"Söflingen","UWS"
"Kommunikationsdesignerin",1980,"Weststadt","FDP"
"Kulturmanager",1954,"Söflingen","FDP"
"Fachdienstleiterin",1973,"Mitte","FDP"
"Dipl.-Ingenieur",1969,"Söflingen","FDP"
"Steuerberaterin",1985,"Mitte","FDP"
"Rechtsanwalt",1976,"Eselsberg","FDP"
"freiberufl. darst. Künstlerin",1995,"Söflingen","FDP"
"Dipl.-Kaufmann",1978,"Mitte","FDP"
"Physikerin",1975,"Söflingen","FDP"
"Unternehmer",1963,"Ermingen","FDP"
"Student",1999,"Söflingen","FDP"
"Physiker",1985,"Weststadt","FDP"
"Dipl.-Ingenieur",1973,"Unterweiler","FDP"
"Dipl.-Bühnendarstellerin",1989,"Mitte","FDP"
"techn. Betriebswirt",1975,"Böfingen","FDP"
"Rechtsanwalt",1981,"Mitte","FDP"
"Zollbeamter",1975,"Eselsberg","FDP"
"Kauffrau",1950,"Böfingen","FDP"
"Lehrer",1988,"Weststadt","FDP"
"Serviceassistent",2001,"Wiblingen","FDP"
"Student",1995,"Lehr","FDP"
"Gastronomin",1983,"Mitte","FDP"
"Zahnarzt",1973,"Eselsberg","FDP"
"Freie Architektin",1983,"Böfingen","FDP"
"Dipl.-Ingenieur",1956,"Böfingen","FDP"
"Rechtsanwalt",1954,"Donaustetten","FDP"
"Arzt",1994,"Eselsberg","FDP"
"Master Physik",1995,"Mitte","FDP"
"Unternehmer IT-Services",1968,"Wiblingen","FDP"
"Dipl.- Betriebswirt (BA)",1967,"Wiblingen","FDP"
"selbst. Unternehmer",1973,"Oststadt","FDP"
"Tourismusfachwirtin",1969,"Mitte","FDP"
"Bankkaufmann",1999,"Eselsberg","FDP"
"Betriebswirtin (FH)",1966,"Weststadt","FDP"
"Geschäftsführer",1948,"Ermingen","FDP"
"Frauenarzt",1951,"Mitte","FDP"
"selbst. Zimmermann",1974,"Söflingen","FDP"
"Rentner",1943,"Wiblingen","FDP"
"Architektin",1972,"Oststadt","FDP"
"Geschäftsführer",1977,"Eselsberg","FDP"
"Augenoptikermeister",1953,"Wiblingen","WWG"
"selbst. Kaufmann",1961,"Einsingen","WWG"
"Regierungsamtmann i.R.",1956,"Wiblingen","WWG"
"Floristin",1969,"Gögglingen","WWG"
"Krankenschwester",1960,"Gögglingen","WWG"
"Maler- und Lackierermeister",1971,"Unterweiler","WWG"
"Wirtschaftsingenieur",1986,"Wiblingen","WWG"
"Zimmermeister",1968,"Wiblingen","WWG"
"Kaufmann",1966,"Unterweiler","WWG"
"Mediator",1959,"Wiblingen","WWG"
"Lehrer i.R.",1952,"Gögglingen","WWG"
"Betriebswirtin",1986,"Wiblingen","WWG"
"Industriemeister",1995,"Wiblingen","WWG"
"Fußballtrainer",1962,"Wiblingen","WWG"
"Student",1999,"Wiblingen","WWG"
"Ärztin i.R.",1956,"Wiblingen","WWG"
"Augenoptikerin",1954,"Wiblingen","WWG"
"Krankenschwester",1967,"Unterweiler","WWG"
"IT-Consultant",1993,"Wiblingen","WWG"
"Psychologische Beraterin i.R.",1956,"Wiblingen","WWG"
"Pensionär",1960,"Wiblingen","WWG"
"Mechatroniker",2003,"Wiblingen","WWG"
"Projektleiter",1977,"Wiblingen","WWG"
"Energieelektroniker",1975,"Wiblingen","WWG"
"Rechtsanwaltsfachangestellte",1978,"Wiblingen","WWG"
"Innenarchitektin",1981,"Wiblingen","WWG"
"freiberufl. Fitnesstrainerin",1980,"Wiblingen","WWG"
"Betriebswirt",1970,"Wiblingen","WWG"
"Bankkauffrau",1971,"Jungingen","WWG"
"selbst. Graveur",1973,"Wiblingen","WWG"
"Betriebswirtin",1973,"Wiblingen","WWG"
"Bürokraft",1964,"Wiblingen","WWG"
"Informatikkauffrau",1979,"Wiblingen","WWG"
"Zollbeamter",1975,"Wiblingen","WWG"
"Erzieherin",1970,"Wiblingen","WWG"
"Bürokauffrau",1981,"Wiblingen","WWG"
"Vertriebsleiter",1962,"Wiblingen","WWG"
"Verlagskauffrau",1964,"Wiblingen","WWG"
"Pensionär",1955,"Wiblingen","WWG"
"Techniker",1949,"Wiblingen","WWG"
"Kinderärztin i.R.",1951,"Lehr","UVL"
"Bankkaufmann",1972,"Jungingen","UVL"
"staatl. anerkannte Erzieherin",1999,"Mähringen","UVL"
"Dipl. Betriebswirt (BA)",1962,"Lehr","UVL"
