"","Lfd...Nr.","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Partei"
"132",412,"Medical Manager",1988,"Eggingen","FWG"
"133",413,"Dipl.-Ingenieur (BA)",1970,"Mitte","FWG"
"134",414,"Industriemeister",1986,"Weststadt","FWG"
"135",415,"Bürokauffrau",1974,"Weststadt","FWG"
"136",416,"Geschäftsführer",1990,"Mähringen","FWG"
"137",417,"selbst. Bäckermeister",1995,"Mitte","FWG"
"138",418,"Bankkaufmann",1948,"Söflingen","FWG"
"139",419,"selbst. Unternehmerin",1962,"Böfingen","FWG"
"140",420,"Key-Account-Manager",1975,"Söflingen","FWG"
"141",421,"techn. Sachbearbeiter",1989,"Oststadt","FWG"
"142",422,"Erzieherin",1971,"Oststadt","FWG"
"143",423,"Rechtsanwalt",1986,"Mitte","FWG"
"144",424,"Pilot",1986,"Mitte","FWG"
"145",425,"Vertriebsmitarbeiter",1987,"Eselsberg","FWG"
"146",426,"Rechtsanwältin i.R.",1950,"Mitte","FWG"
"147",427,"selbst. Wirtschaftsinformatiker (B.Sc.)",1986,"Wiblingen","FWG"
"148",428,"Bankbetriebswirt",1977,"Mitte","FWG"
"149",429,"Geschäftsführer",1960,"Söflingen","FWG"
"150",430,"Arzt",1946,"Eselsberg","FWG"
"151",431,"Vertriebsmitarbeiter",1995,"Eselsberg","FWG"
"152",432,"Rechtsanwalt",1975,"Oststadt","FWG"
"153",433,"Dipl.-Ingenieur",1964,"Eselsberg","FWG"
"154",434,"selbst. Geschäftsführer",1971,"Mitte","FWG"
"155",435,"Juwelier",1958,"Weststadt","FWG"
"156",436,"Rentner",1955,"Mitte","FWG"
"157",437,"Verwaltungskraft",1987,"Mitte","FWG"
"158",438,"techn. Objetkmanager",1989,"Söflingen","FWG"
"159",439,"Soziologe",1955,"Eselsberg","FWG"
"160",501,"techn. Oberlehrer i.R.",1948,"Söflingen","UWS"
"161",502,"Polizeibeamter",1961,"Weststadt","UWS"
"162",503,"Försterin",1992,"Ermingen","UWS"
"163",504,"Betonstein- und Terrazzoherstellermeister",1983,"Söflingen","UWS"
"164",505,"Fraktionsgeschäftsführerin",1969,"Söflingen","UWS"
"165",506,"Zimmerermeister",1979,"Söflingen","UWS"
"166",507,"Fotograf",1951,"Wiblingen","UWS"
"167",508,"Biotechnologin",1996,"Söflingen","UWS"
"168",509,"Werbegestalter",1960,"Söflingen","UWS"
"169",510,"Student",1997,"Söflingen","UWS"
"170",511,"Kauffrau im Einzelhandel",2000,"Söflingen","UWS"
"171",512,"Architekt",1959,"Söflingen","UWS"
"172",513,"Augenoptikermeister",1975,"Weststadt","UWS"
"173",514,"Erzieherin",1970,"Söflingen","UWS"
"174",515,"Gymnasiallehrer",1986,"Gögglingen","UWS"
"175",516,"Konstruktionselektrotechniker",1991,"Söflingen","UWS"
"176",517,"Dipl.-Sozialpädagogin",1971,"Söflingen","UWS"
"177",518,"Schornsteinfegermeister",1978,"Söflingen","UWS"
"178",519,"Braumeister",1960,"Söflingen","UWS"
"179",520,"Verwaltungsangestellte",1977,"Söflingen","UWS"
"180",521,"Kriminalbeamter",1976,"Söflingen","UWS"
"181",522,"Floristmeister",1966,"Söflingen","UWS"
"182",523,"Dipl.-Ingenieur agr.",1964,"Söflingen","UWS"
"183",524,"Lehrer",1980,"Söflingen","UWS"
"184",525,"Student",1998,"Söflingen","UWS"
"185",526,"Industriekauffrau",1963,"Weststadt","UWS"
"186",527,"Projektmanager",1966,"Söflingen","UWS"
"187",528,"Schulleiter",1971,"Söflingen","UWS"
"188",529,"Dipl.-Sozialpädagogin (BA)",1978,"Söflingen","UWS"
"189",530,"Dipl.-Ingenieur (FH)",1954,"Söflingen","UWS"
"190",531,"selbst. Immobilienberater",1958,"Söflingen","UWS"
"191",532,"Bankfachwirtin",1980,"Söflingen","UWS"
"192",533,"Kaufmann",1974,"Söflingen","UWS"
"193",534,"Stabshauptmann",1966,"Söflingen","UWS"
"194",535,"Rechtsanwaltsfach- angestellte",1973,"Söflingen","UWS"
"195",536,"Schlossermeister",1954,"Söflingen","UWS"
"196",537,"Kaufmann",1963,"Söflingen","UWS"
"197",538,"Leitung Werkstatt für behinderte Menschen",1967,"Söflingen","UWS"
"198",539,"Physiotherapeut",1985,"Söflingen","UWS"
"199",540,"Friseur",1953,"Söflingen","UWS"
"200",601,"Kommunikationsdesignerin",1980,"Weststadt","FDP"
"201",602,"Kulturmanager",1954,"Söflingen","FDP"
"202",603,"Fachdienstleiterin",1973,"Mitte","FDP"
"203",604,"Dipl.-Ingenieur",1969,"Söflingen","FDP"
"204",605,"Steuerberaterin",1985,"Mitte","FDP"
"205",606,"Rechtsanwalt",1976,"Eselsberg","FDP"
"206",607,"freiberufl. darst. Künstlerin",1995,"Söflingen","FDP"
"207",608,"Dipl.-Kaufmann",1978,"Mitte","FDP"
"208",609,"Physikerin",1975,"Söflingen","FDP"
"209",610,"Unternehmer",1963,"Ermingen","FDP"
"210",611,"Student",1999,"Söflingen","FDP"
"211",612,"Physiker",1985,"Weststadt","FDP"
"212",613,"Dipl.-Ingenieur",1973,"Unterweiler","FDP"
"213",614,"Dipl.-Bühnendarstellerin",1989,"Mitte","FDP"
"214",615,"techn. Betriebswirt",1975,"Böfingen","FDP"
"215",616,"Rechtsanwalt",1981,"Mitte","FDP"
"216",617,"Zollbeamter",1975,"Eselsberg","FDP"
"217",618,"Kauffrau",1950,"Böfingen","FDP"
"218",619,"Lehrer",1988,"Weststadt","FDP"
"219",620,"Serviceassistent",2001,"Wiblingen","FDP"
"220",621,"Student",1995,"Lehr","FDP"
"221",622,"Gastronomin",1983,"Mitte","FDP"
"222",623,"Zahnarzt",1973,"Eselsberg","FDP"
"223",624,"Freie Architektin",1983,"Böfingen","FDP"
"224",625,"Dipl.-Ingenieur",1956,"Böfingen","FDP"
"225",626,"Rechtsanwalt",1954,"Donaustetten","FDP"
"226",627,"Arzt",1994,"Eselsberg","FDP"
"227",628,"Master Physik",1995,"Mitte","FDP"
"228",629,"Unternehmer IT-Services",1968,"Wiblingen","FDP"
"229",630,"Dipl.- Betriebswirt (BA)",1967,"Wiblingen","FDP"
"230",631,"selbst. Unternehmer",1973,"Oststadt","FDP"
"231",632,"Tourismusfachwirtin",1969,"Mitte","FDP"
"232",633,"Bankkaufmann",1999,"Eselsberg","FDP"
"233",634,"Betriebswirtin (FH)",1966,"Weststadt","FDP"
"234",635,"Geschäftsführer",1948,"Ermingen","FDP"
"235",636,"Frauenarzt",1951,"Mitte","FDP"
"236",637,"selbst. Zimmermann",1974,"Söflingen","FDP"
"237",638,"Rentner",1943,"Wiblingen","FDP"
"238",639,"Architektin",1972,"Oststadt","FDP"
"239",640,"Geschäftsführer",1977,"Eselsberg","FDP"
"240",701,"Augenoptikermeister",1953,"Wiblingen","WWG"
"241",702,"selbst. Kaufmann",1961,"Einsingen","WWG"
"242",703,"Regierungsamtmann i.R.",1956,"Wiblingen","WWG"
"243",704,"Floristin",1969,"Gögglingen","WWG"
"244",705,"Krankenschwester",1960,"Gögglingen","WWG"
"245",706,"Maler- und Lackierermeister",1971,"Unterweiler","WWG"
"246",707,"Wirtschaftsingenieur",1986,"Wiblingen","WWG"
"247",708,"Zimmermeister",1968,"Wiblingen","WWG"
"248",709,"Kaufmann",1966,"Unterweiler","WWG"
"249",710,"Mediator",1959,"Wiblingen","WWG"
"250",711,"Lehrer i.R.",1952,"Gögglingen","WWG"
"251",712,"Betriebswirtin",1986,"Wiblingen","WWG"
"252",713,"Industriemeister",1995,"Wiblingen","WWG"
"253",714,"Fußballtrainer",1962,"Wiblingen","WWG"
"254",715,"Student",1999,"Wiblingen","WWG"
"255",716,"Ärztin i.R.",1956,"Wiblingen","WWG"
"256",717,"Augenoptikerin",1954,"Wiblingen","WWG"
"257",718,"Krankenschwester",1967,"Unterweiler","WWG"
"258",719,"IT-Consultant",1993,"Wiblingen","WWG"
"259",720,"Psychologische Beraterin i.R.",1956,"Wiblingen","WWG"
"260",721,"Pensionär",1960,"Wiblingen","WWG"
"261",722,"Mechatroniker",2003,"Wiblingen","WWG"
"262",723,"Projektleiter",1977,"Wiblingen","WWG"
"263",724,"Energieelektroniker",1975,"Wiblingen","WWG"
